,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,ID,dataType
LOC653458,0.1083285023,0.944979884,1.2524908829,0.70893682,0.7480291502,NA,L
LOC653472,0.2603684358,-0.1757174664,0.5014117014,0.0712385884,-0.0016957478,NA,L
LOC653479,-0.5279693568,-0.5100816863,-0.6476170719,-0.6705765263,-0.8204104615,NA,L
LOC653499,0.0524083806,0.1872438233,0.8092200551,1.2345829864,2.0858843896,NA,L
LOC653505,-0.2396743259,-0.3121940751,-0.7621841341,-0.3685296698,-0.9425396727,NA,L
LOC653506,-1.6029770919,-1.1915810358,-0.2633755188,-1.4483186544,-0.9206045071,NA,L
LOC653513,0.87499433,1.5963407752,1.7957245068,1.2393359121,1.5376416498,NA,L
LOC653520,0.7762423244,0.7164255293,0.5550397918,0.1663908867,0.1790831335,NA,L
LOC653524,0.0983266459,0.0880677288,0.570970677,0.4247799585,0.2934855645,NA,L
LOC653557,0.491164119,0.1350067505,0.3850187342,0.4124869756,0.2827914492,NA,L
LOC653566,0.7414737235,0.5961742341,0.2840280493,0.7270559353,0.47888037,NA,L
LOC653583,0.1306516839,0.0296416564,0.5007138596,0.1036625952,0.3459606904,NA,L
LOC653596,0.0309463053,0.0914975547,0.402177229,-0.0669994851,-0.0195645584,NA,L
LOC653616,0.2695079754,0.4286078137,0.1939170797,0.2007672431,0.3985768024,NA,L
LOC653631,-0.0762521349,-0.409709706,-0.7011820324,-0.612725614,-1.0113654462,NA,L
LOC653652,0.1341559251,0.0096068221,0.1055084775,0.1805693848,0.2660983959,NA,L
LOC653658,0.2340300164,0.603801042,0.3559247622,0.0877213623,0.4231555868,NA,L
LOC653701,0.1881543564,0.1755623899,0.265897406,0.4894642191,0.2747047458,NA,L
LOC653702,0.2106933604,0.1122074122,0.1584047708,0.2090386557,0.5564709357,NA,L
LOC653720,0.0811895845,-0.0542629695,0.0310700409,0.2452912927,0.2105066929,NA,L
LOC653737,0.1028115947,0.1394642059,0.6615885738,0.120163251,0.5332362016,NA,L
LOC653750,-0.0527727762,0.004591389,0.0950462979,0.4536625726,0.8004590622,NA,L
LOC653752,-0.0979529791,0.0671182358,-0.0457541633,-0.3239852972,-0.1993091341,NA,L
LOC653764,0.5407448208,-0.2627865778,-0.29679817,-0.2375500037,-0.3070513621,NA,L
LOC653773,0.1418423553,0.4645001294,0.381324585,0.3832598732,0.5349669336,NA,L
LOC653778,0.054030346,-0.0215740513,1.2019507729,0.3659914902,0.8877090708,NA,L
LOC653800,0.04333347,0.0846076693,0.0838610576,0.0824860868,0.2521315082,NA,L
LOC653803,0.0393501953,-0.1150185704,-0.1626640625,-0.0852722142,-0.4799718303,NA,L
LOC653820,0.1413116516,0.6479742409,1.0634416176,0.8158661411,0.8937874762,NA,L
LOC653829,0.0237130276,-0.2444051107,-0.1373819667,-0.2505004859,-0.4444139431,NA,L
LOC653841,0.4177217139,-0.1141668278,-0.2386911716,-0.0825589474,-0.0986841601,NA,L
LOC653853,0.5912536803,0.5402887559,0.8326512705,0.306535205,0.351516462,NA,L
LOC653857,0.2400667208,0.3677683008,0.0402127495,0.2291179572,0.2444049512,NA,L
LOC653874,-0.3141869927,0.4734564592,-0.8611245027,0.3223183481,-0.2468538048,NA,L
LOC653881,0.041654152,-0.0690800715,0.0129389974,0.0096037916,0.2110353279,NA,L
LOC653888,-1.3654764453,-1.1804164855,-1.5286647812,-0.686721913,-1.1651972105,NA,L
LOC653930,-0.1648710726,-0.2118576439,-0.1218358595,-0.3058780632,-0.2234436273,NA,L
LOC654053,0.0569349085,1.131418652,1.5525403881,0.9062089378,0.7068905723,NA,L
LOC654069,-0.0253433939,0.0981816402,-0.0554968507,-0.1566797244,0.2995455365,NA,L
LOC654074,-0.1672894021,-0.0147517926,0.5174047556,0.5030049498,0.3445006729,NA,L
LOC654103,0.0638231318,0.0164225535,1.2252590813,0.4859192299,0.8235202254,NA,L
LOC654121,0.0346798284,-0.1801028105,-0.9635664982,-0.6620456915,-0.6681225191,NA,L
LOC654155,-0.2097827308,0.0225252337,0.5092347376,0.3146025288,0.2281637622,NA,L
LOC654161,-0.1590624328,0.3533451934,0.4629675421,-0.0135805544,0.3407010749,NA,L
LOC654174,0.9638593446,0.7462852585,0.6417619436,0.7633096233,0.3253073786,NA,L
LOC654191,-1.0763282259,-1.1662536368,-1.3533562017,-1.0542232478,-1.2269920715,NA,L
LOC654194,0.1268196731,0.3831324812,0.1203340831,0.0340966587,0.2968244056,NA,L
LOC654244,0.4800893195,0.0948220433,-0.2905203397,-0.2072948926,-0.4236255772,NA,L
LOC654253,0.0511720841,0.0897157867,0.3840969664,0.0913017266,0.2910769907,NA,L
LOC654259,0.0493714054,0.0363593751,0.2644723103,-0.0098688969,-0.0734382213,NA,L
LOC654342,0.0798108019,-0.1413938324,-0.1543332701,-0.2543648606,-0.2190489555,NA,L
LOC654350,0.0835010552,0.2348113273,0.4019577699,0.2290595106,0.3761755109,NA,L
LOC678655,0.1013853659,-0.0993627626,0.1755774293,0.1439765199,0.4200182592,NA,L
LOC723972,0.4319663028,0.7500509156,0.4311143583,0.9508685901,0.666638202,NA,L
LOC727748,-0.0456219491,0.0275990769,-0.2222453367,-0.1839714299,-0.2315151381,NA,L
LOC727758,-0.1730605439,-0.4805946883,-0.1833630789,-0.4594250588,-0.4225252207,NA,L
