,D1.log2fc,D1.adjPval,D3.log2fc,D3.adjPval,D6.log2fc,D6.adjPval,D10.log2fc,D10.adjPval,D14.log2fc,D14.adjPval
hsa-miR-431,0.093712,0.9113045456,-0.062313,0.9009465523,-0.394647,0.2512774407,-0.363928,0.2800425894,-0.703618,0.0423126529
hsa-miR-4314,-0.7532715,0.1027417557,-0.7963675,0.0445013745,-0.6985735,0.0526309923,-0.7530445,0.0380411973,-0.8542955,0.0212088134
hsa-miR-4317,0.5247665,0.0527103031,0.8579155,0.00270583,0.917189,0.0008354054,0.8938995,0.0008656946,1.120066,0.0001890786
hsa-miR-4324,-0.064788,0.9314746224,-0.4111905,0.2151135386,-0.5228515,0.0798754686,-0.7555625,0.0177478869,-0.371734,0.200416386
hsa-miR-4328,0.5898065,0.1145914495,0.8527065,0.0136360113,0.7658625,0.0134390093,0.5315355,0.0644350419,0.859839,0.0073687538
hsa-miR-4329,-0.3798065,0.3518789667,-0.5583695,0.1045270124,-0.782916,0.0184064635,-1.1774595,0.0020926275,-0.988778,0.0056249353
hsa-miR-433,0.404011,0.2558066207,0.239347,0.4717282853,-0.015016,0.9739107816,0.5145175,0.0644350419,0.824606,0.0075562843
hsa-miR-451,-0.004851,0.9971493959,-0.2991785,0.6563066894,-0.3200565,0.5800755574,1.9648285,0.0017458493,1.3566265,0.0129264249
hsa-miR-455-3p,1.1153525,0.0059210734,3.715934,7.59589144491888E-07,4.501273,1.04726768071262E-07,4.5478445,1.27473240464881E-07,4.7305165,6.74511430528146E-08
hsa-miR-455-5p,0.311947,0.4721266782,2.699685,2.41046606293487E-05,3.4402825,0.000003259,3.54972,2.48047200950975E-06,3.77088,1.62547430377702E-06
hsa-miR-483-5p,0.2728495,0.6284245397,0.1940735,0.7139973322,0.1654015,0.7330645655,1.152729,0.0079104027,0.830651,0.0385717119
hsa-miR-485-3p,0.2062475,0.5393643149,0.0672805,0.8512500196,0.746199,0.0068472179,0.6284205,0.0155183529,0.3218845,0.1736627422
hsa-miR-490-3p,-0.2814385,0.3636968824,-0.219267,0.4315450091,0.715392,0.0074866629,0.715501,0.0067941143,0.8645545,0.0023861629
hsa-miR-491-5p,-0.0140185,0.987229621,0.081771,0.8188682143,0.185542,0.4854114368,0.4899565,0.049121794,0.621096,0.016541227
hsa-miR-492,-0.392828,0.1302162836,-0.3452355,0.1200105094,-0.997201,0.0004223777,-0.6711125,0.003995944,-0.364738,0.0702241717
hsa-miR-493,-0.629219,0.2267892408,-1.0560055,0.0270498841,-0.970592,0.0234769235,-0.6701945,0.0957315753,-0.6116775,0.1281473931
hsa-miR-494,-0.973069,0.1267703682,-1.1410085,0.0397467064,-1.3969445,0.0098001428,-1.496148,0.0062898571,-1.184602,0.0204895356
hsa-miR-497,0.1460745,0.8524309449,1.264815,0.0065479842,2.333202,9.43005537302035E-05,2.6035325,3.42101814353251E-05,3.069197,1.03147387426456E-05
hsa-miR-500a,0.175706,0.5293279992,0.407923,0.0698737879,0.585414,0.00934352,0.3929875,0.0548002305,0.4329965,0.0363257575
hsa-miR-508-5p,0.026277,0.9808009284,0.2079295,0.5846067028,0.9616405,0.0060048627,0.500959,0.0933301214,0.3698995,0.2047297792
hsa-miR-513a-3p,-1.165581,0.0322065068,-0.2073665,0.6905726499,-0.0561915,0.9160819825,0.239973,0.5932900466,0.1649045,0.7086629671
hsa-miR-513a-5p,0.0714225,0.945234586,0.1493115,0.799299885,1.0990445,0.0134090474,-0.0571405,0.9247935441,0.0360855,0.9526914298
hsa-miR-515-3p,0.323269,0.5139120635,0.513309,0.1924122233,0.3256265,0.3823579925,0.785459,0.0331090182,0.855565,0.0219861666
hsa-miR-518ehsa-miR-519ahsa-miR-519b-5phsa-miR-519c-5phsa-miR-522hsa-miR-523,0.1508075,0.7646401323,-0.328617,0.311942167,-1.265702,0.0008859013,-1.3222505,0.0006056768,-1.2801165,0.0006816086
hsa-miR-520d-3p,0.015067,0.9861219355,-0.449308,0.0729602613,-0.200901,0.3918726676,-0.4056655,0.0704790177,-0.619725,0.0111852847
hsa-miR-525-5p,-0.384249,0.323602193,-0.315269,0.3595668136,-0.5609525,0.065490069,-0.6952925,0.0268940388,-0.4985215,0.0965730288
hsa-miR-526b,-0.735068,0.1002157324,-0.5259885,0.1558941964,-0.661767,0.0543603233,-0.673363,0.0506548249,-0.7058625,0.0408559892
hsa-miR-532-3p,-0.2517505,0.4938324334,-0.697171,0.026327439,-0.428509,0.1102276581,-0.6695745,0.0182801798,-0.463827,0.0815385716
hsa-miR-542-5p,-0.385448,0.3086283226,-0.8239195,0.0194048014,-0.163385,0.6393187103,1.2964205,0.0008346297,0.7446115,0.0176529746
hsa-miR-545,-0.4022885,0.4423120257,-0.4245,0.3405214299,-0.8057855,0.0439770092,-0.4860925,0.2060349525,-0.323016,0.4050447455
hsa-miR-548d-5p,-0.7470745,0.0450757549,-0.4458545,0.147520682,-0.477118,0.0887665008,-0.867979,0.0061694919,-0.398573,0.1476162399
hsa-miR-548e,-0.2607445,0.639062891,-0.0680065,0.9009465523,-0.2167395,0.6259676013,0.1970145,0.6604249684,0.9192255,0.0218614005
hsa-miR-548k,0.835658,0.0327796926,0.892414,0.0119000059,0.7416525,0.0176971451,1.187467,0.0013171629,0.855725,0.0082166792
