GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
RAVER1,0.1513432687,0.4621235818,0.0577058787,0.3427720869,0.5881098587,0.8580008218,0.1860082212,0.9181128779,0.3339389495,0.0036508962
RAXL1,-0.0180138763,-0.6373936248,0.0486591921,-0.2716709895,-0.3369728386,0.9913557035,0.0490489513,0.9315571318,0.4627775613,0.0632636506
RB1,0.0574523533,-0.206844088,-0.3339719059,-0.0008825296,-0.3268022481,0.9233657766,0.3281796887,0.0543489692,0.9979146731,0.0037711026
RBBP4,0.3174622797,-0.5430557269,-0.8578050613,-0.6940071105,-0.938609207,0.4302713846,0.0707531231,0.0047316702,0.0198954496,0.000056111
RBBP5,-0.0182882882,-0.2718219556,-0.1937173866,-0.2567336743,-0.2216840229,0.9833700571,0.1703085475,0.3122945181,0.1765585859,0.0382983543
RBBP7,-0.2936589646,-0.4740269045,-1.0543404513,-0.6248553073,-0.7887629375,0.193546084,0.0191295054,6.51591414339304E-05,0.0033833989,8.41712886308443E-06
RBBP8,-0.3767335359,-0.6041510911,-1.6953014979,-0.6733635909,-1.1816675501,0.2115871848,0.0231359685,1.39568801243784E-05,0.0116591757,2.97879674802963E-06
RBBP9,-0.3017362753,-0.369444039,-1.3039948721,-0.1710540065,-0.4381269687,0.5178361375,0.3007832692,0.0004281199,0.6935163789,0.0166167033
RBCK1,-0.4921217168,-0.7306405037,-0.5983371519,-0.9610980121,-0.8676266172,0.0125911607,0.0007163198,0.002030244,8.33526566624692E-05,1.87445051715606E-06
RBED1,0.149828519,-0.1492176724,0.1897110293,0.1762980805,0.3441616219,0.8422473572,0.7806637365,0.6105001819,0.6662268407,0.0468211931
RBKS,-0.3061879003,-0.0217439185,0.0845880189,0.5563991614,0.5885445944,0.5682162182,0.978974919,0.8799295565,0.1022872658,0.0048098374
RBL1,-0.0504815355,-0.1392925005,-0.3712866813,-0.1918702188,-0.2936960141,0.9525702925,0.6952679819,0.083288143,0.4641161771,0.0242547719
